spins,analytical_gamma,optimum_gamma,fidelity,noiseless_fidelity,naive_fidelity,time,noiseless_time
12,0.1331630700264699,0.1456630700264699,0.9469675157682338,0.9476643690552102,0.8144215788703694,9.229999999999848,9.239999999999847
16,0.1137421097370348,0.1262421097370347,0.9627650863403883,0.9639588980616796,0.8520159378338796,10.55999999999982,10.56999999999982
20,0.1004997587355275,0.1114997587355275,0.9601425215841342,0.9615794433655168,0.8756767946249312,11.879999999999791,11.889999999999793
24,0.0907907656320292,0.0986240989653625,0.9596870080546505,0.9615004801580948,0.8921038163324451,13.409999999999759,13.419999999999758
28,0.0833078833672337,0.0893078833672337,0.9655572681867818,0.9677802782248408,0.9042612214881184,14.809999999999729,14.809999999999729
32,0.0773274867348183,0.0821608200681516,0.9737690141160207,0.976295140428312,0.9136716168927488,16.029999999999706,16.039999999999708
36,0.0724144617802097,0.0764144617802097,0.9807193038387187,0.9836928261402568,0.9212016137316223,17.089999999999872,17.109999999999875
40,0.0682902634225202,0.0717902634225201,0.9851394643792033,0.9885634209697018,0.9273828943181316,18.020000000000017,18.04000000000002
44,0.0647676252915449,0.0679342919582116,0.986918155180122,0.990672542445541,0.9325609049227828,18.87000000000015,18.88000000000015
48,0.0617155981900534,0.0645489315233867,0.9866209458326303,0.9904188632666916,0.9369704802593928,19.670000000000275,19.68000000000028
52,0.0590396114413421,0.0615396114413421,0.9841350110891253,0.988437436723692,0.9407772179608456,20.450000000000397,20.4700000000004
56,0.0566695017673816,0.0588361684340482,0.980428112768373,0.9853658083263296,0.9441014802047244,21.250000000000522,21.270000000000525
60,0.0545520118069638,0.0565520118069638,0.9770918664332552,0.9820607139208114,0.9470330032315436,22.020000000000643,22.050000000000647
64,0.0526459165241962,0.0544792498575295,0.9739280122061096,0.9791482084430184,0.9496401549616996,22.84000000000077,22.870000000000772
68,0.0509187574629753,0.0524187574629752,0.9715348647625718,0.9774435226964816,0.9519760050634872,23.79000000000092,23.840000000000927
72,0.0493445950159386,0.0506779283492719,0.9711618261337196,0.9775405264923432,0.9540824236002962,24.740000000001068,24.79000000000108
76,0.0479024247212914,0.0490690913879581,0.9726144899507027,0.9793414131582046,0.9559929200738354,25.670000000001213,25.730000000001223
80,0.0465750381433756,0.0477417048100422,0.9747438645091069,0.9823740704092117,0.957734654499022,26.460000000001337,26.510000000001344
84,0.0453481883637563,0.0463481883637563,0.9783293493473674,0.985754707941788,0.959329890472158,27.25000000000146,27.300000000001468
88,0.0442099685143852,0.0452099685143851,0.9811519077048014,0.988927724896986,0.9607970637495008,27.88000000000156,27.930000000001566
92,0.0431503420825254,0.0441503420825254,0.9829857013371982,0.9913908912753762,0.9621515806037886,28.46000000000165,28.510000000001657
96,0.0421607831503191,0.0429941164836523,0.9846355279565492,0.993436445832966,0.9634064228609268,29.070000000001745,29.120000000001752
100,0.0412339974731933,0.0420673308065266,0.9853347673963446,0.9946467796683608,0.964572612394364,29.580000000001824,29.630000000001832
104,0.0403637038228975,0.0411970371562308,0.9846872693191773,0.9950481657316044,0.9656595719452118,30.0600000000019,30.12000000000191
108,0.0395444608243361,0.0403777941576694,0.984858851199617,0.9947121073188882,0.9666754084406406,30.540000000001974,30.600000000001984
112,0.0387715285334022,0.0394381952000689,0.9839046544309185,0.994026795817285,0.9676271376657676,31.09000000000206,31.16000000000207
116,0.0380407568274267,0.0387074234940933,0.9829381670881631,0.992967579751382,0.9685208640573184,31.570000000002135,31.640000000002143
120,0.0373484946930953,0.038015161359762,0.9815087186558554,0.9915403474805156,0.969361925798381,32.05000000000219,32.13000000000218
