spins,mu,alpha,z_trap_frequency,analytical_gamma,optimum_gamma,fidelity,noiseless_fidelity,naive_fidelity,time,noiseless_time,switch_time,fidelity_lower_error,fidelity_upper_error
4,39247383.54183192,0.5000288785253951,15330206.075737365,4719.897069989258,3371.355049992327,0.9755355377157806,0.9843109553335015,0.5954243704308049,0.0013049999999999895,0.0013093200000002,0.0009413092854095,0.9699973588379038,0.9810737165936574
6,38460332.59575692,0.4999917057435927,10657532.409930754,4183.071915186971,3087.8744612892447,0.9755904431536753,0.9890572210189564,0.7194238137936094,0.0017009999999999562,0.0017064799999978,0.0013008139001739,0.9671113279660833,0.9840695583412672
8,38164647.62855545,0.5006067480256704,8296603.004056727,3853.8230761820414,3013.208628880199,0.9718287294782749,0.9903457029623708,0.7801335254885206,0.0020499999999999477,0.0020581799999957,0.001630377208028,0.9602458287927946,0.9834116301637552
10,38015147.20507636,0.4999605265698577,6828692.485320201,3652.5844349514914,2948.943209792751,0.9661471170382309,0.989444212410394,0.8163517745698264,0.0023509999999999876,0.0023630699999939,0.0019232449943717,0.9510449122345488,0.9812493218419129
12,37929934.63641602,0.4999181486966528,5828901.475286705,3490.165474947441,2888.075399937225,0.9569898250478348,0.985578367026098,0.8406432859562442,0.002634000000000025,0.0026508299999922,0.0022048521871551,0.9379930274568404,0.9759866226388292
14,37874048.780270696,0.4999930345695548,5069258.364262918,3398.043591002163,2862.489904279482,0.9454198747137018,0.9795258108264256,0.8582253784104613,0.002867000000000056,0.0028901699999908,0.0024460760021076,0.9225423452949265,0.9682974041324771
16,37839245.0407292,0.500616153435887,4529379.067831493,3259.087743106409,2786.0732428298443,0.9323043806429324,0.9722053317335536,0.8715917228001534,0.003146000000000093,0.0031772499999891,0.0027264580081072,0.9054532910152602,0.9591554702706047
18,37812491.50441735,0.5000131346157582,4076077.5055811135,3193.3770512146702,2771.8456033229672,0.9214150916520867,0.9646749260240248,0.8822990110326424,0.003364000000000122,0.0034019999999877,0.0029513514406901,0.8925758338553038,0.9502543494488696
20,37793974.94233637,0.5000011088327218,3726902.7190767513,3099.85052522017,2718.6191592057853,0.9081116553061506,0.957621117891369,0.8909974934653382,0.0036160000000001555,0.0036677499999861,0.0032048604230974,0.8740362208693974,0.9421870897429038
22,37779288.17016152,0.4999640217191842,3425262.682000916,3038.22970617908,2695.154470844644,0.8970302474004358,0.951788572205188,0.8982670571090414,0.003844000000000186,0.0039098099999847,0.0034294589559516,0.861109956772001,0.9329505380288706
24,37767465.007778354,0.4999648601290131,3161647.67927577,3000.6226965793367,2696.5553655415324,0.8885442283570223,0.9478501200480072,0.9044472374955642,0.004052000000000213,0.0041344499999834,0.0036268459202856,0.8488708848387412,0.9282175718753034
26,37759126.00017452,0.5002037073370403,2960453.9752684766,2916.98408735388,2651.392289151957,0.8785537750484946,0.9461831787312244,0.9097531263098784,0.004333000000000251,0.0044401199999816,0.0038831797020237,0.8349173233195962,0.922190226777393
28,37752135.307845205,0.5002838647049171,2781611.189932981,2851.1640118471623,2611.862512896756,0.8639750903249016,0.9470780902086012,0.914405983363368,0.004592000000000285,0.0047347699999798,0.0041227945182022,0.8088911824081082,0.919058998241695
30,37745120.93487443,0.4997711879698665,2592936.214386984,2866.679688146296,2647.693019784484,0.8617187977723235,0.9504284585692496,0.9185905863572524,0.004744000000000305,0.0048947399999789,0.004244400264959,0.8038613429923313,0.9195762525523158
32,37740295.03805195,0.5004140442600956,2449784.351591553,2817.926373359735,2619.368283535113,0.8586807916850726,0.9549268718074836,0.9221768533287552,0.004993000000000338,0.0051567299999773,0.0044594389453038,0.7974682158801045,0.9198933674900407
34,37736024.1343168,0.5001582653570462,2319944.8477784544,2788.2540986203344,2598.332761410452,0.8580635949563458,0.960633927742182,0.9255061548628768,0.0052050000000003665,0.005374529999976,0.0046456018301289,0.7927696340420539,0.9233575558706376
36,37733551.79077464,0.5034785238152539,2226573.672497269,2666.617475196373,2488.8256815116883,0.8471637147552741,0.9653991006860216,0.928038135104012,0.0055900000000004176,0.0057847799999736,0.0049983355087304,0.7729174464166094,0.9214099830939387
38,37729539.12138712,0.4972814592586729,2117152.9013584764,2714.5558930420493,2547.9774295931,0.8560804292718733,0.9730401668856686,0.9315775298858328,0.005631000000000423,0.0058046799999735,0.0050446133505181,0.7819799203971852,0.9301809381465614
40,37726992.055543095,0.4998395826214881,2016478.4471859443,2674.738222987211,2510.3490280732067,0.8522250543922676,0.9776089458507736,0.9337146419590296,0.005851000000000452,0.0060311899999721,0.0052527119631133,0.7721490200562799,0.9323010887282552
42,37725061.65065791,0.4996513478551587,1945856.1543771385,2608.6346316482523,2455.037930208231,0.8339831443826795,0.9823160410642788,0.9360150106012132,0.006092000000000484,0.0063069499999705,0.0055188204446615,0.7402381479119087,0.9277281408534503
44,37723126.85429259,0.5031787189114203,1858910.6953071093,2568.7180261955023,2419.7804403587897,0.8400001325492341,0.985648481571276,0.9376338481504124,0.006332000000000516,0.0065351299999691,0.0057364706998095,0.7477670472592122,0.9322332178392561
46,37721256.628381446,0.5051087630232949,1778056.8576998126,2549.6294114748825,2403.0618342143243,0.8288149525108467,0.9887364687865774,0.9393097154254963,0.006480000000000536,0.0067043799999681,0.0059093094132366,0.7282708870679406,0.9293590179537528
48,37719643.16549222,0.5017933636162515,1722912.6929953285,2528.5141183055416,2379.969978048451,0.8252773769378087,0.9917971915270348,0.9415713449323926,0.006630000000000556,0.0068627899999672,0.0060868151182229,0.7227576736862869,0.9277970801893305
50,37717806.49881781,0.499349955075239,1651773.679520473,2561.6525036043704,2413.1299935201446,0.8316820257184907,0.9938764688181376,0.943583717294026,0.006648000000000558,0.0068689999999671,0.0061319649116525,0.7284392448683268,0.9349248065686546
52,37716822.15148025,0.5004053418220353,1604167.1570190943,2500.95675243742,2357.3990773150454,0.8178742243343227,0.9949588826815136,0.9450143847565268,0.006894000000000591,0.0071399599999655,0.0064051656346324,0.7093049703880322,0.9264434782806131
